evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20030301,04172541,32.9008,244.4853,15.92,2.8
20030301,05382855,32.906,244.4755,16.24,2.4
20030301,06450262,32.9217,244.4858,18.26,2.5
20030301,07025995,32.9105,244.4805,15.88,2.3
20030301,07202676,32.9163,244.4842,15.34,2.5
20030301,07333314,32.9147,244.473,15.22,2.3
20030302,03150138,34.3233,243.14,3.9,2.3
20030302,17590242,34.3258,243.1385,1.92,3.0
20030303,09575416,33.199,244.4202,3.68,3.2
20030303,11062628,33.1985,244.4262,3.66,2.2
20030304,08140328,34.3052,243.1638,7.96,2.4
20030306,11440552,34.3057,243.1553,5.02,2.3
20030308,10022991,34.2988,243.1693,5.75,2.2
20030309,16065946,34.3012,243.1503,4.82,2.5
20030310,14403327,33.1662,244.361,4.17,2.4
20030310,22344080,33.3437,243.6032,14.99,2.7
20030311,05082968,33.1618,244.3592,4.48,2.4
20030312,23521960,34.0143,242.985,19.82,2.4
20030313,17411840,34.035,242.993,13.44,2.4
20030315,05573973,33.2613,243.556,2.51,2.6
20030315,10014762,34.3057,243.1572,3.59,3.6
20030315,14381176,33.354,243.6197,14.05,2.3
20030317,00342293,32.9415,243.496,9.47,2.4
20030318,07372352,34.305,243.1502,5.4,2.2
20030320,08165238,34.027,242.422,3.92,2.4
20030331,00144533,34.305,243.156,4.96,2.2
20030401,15085284,33.984,242.9618,14.94,2.5
20030401,20484160,34.3817,243.5363,4.38,2.4
20030403,13420904,33.1757,243.6737,11.72,2.7
20030404,05535768,34.3237,243.1403,4.91,2.5
20030406,11275715,33.3585,243.0823,11.9,2.3
20030408,07174839,34.3097,243.1515,5.79,2.3
20030410,08480946,34.3102,243.1507,5.76,2.5
20030410,23031556,34.3103,243.1488,5.77,3.3
20030410,23491028,34.3072,243.1503,5.74,2.2
20030411,18453248,32.9385,244.4512,17.11,2.6
20030412,04365699,33.1792,244.3973,3.88,2.5
20030412,05363613,33.1813,244.3962,3.49,2.2
20030412,14272978,34.1187,243.0908,4.01,2.6
20030412,14305266,33.1723,244.3958,4.28,2.3
20030413,16392266,33.1843,244.3983,3.34,3.3
20030413,16493233,33.1733,244.3888,3.8,3.0
20030413,17402058,33.1758,244.3985,4.08,2.2
20030413,18373728,33.1762,244.3863,4.22,2.3
20030413,21102108,33.1812,244.3948,4.4,2.5
20030413,23113384,33.174,244.3982,4.53,2.7
20030414,01543916,33.1828,244.3885,3.51,2.5
20030416,23363946,33.1813,244.402,4.5,2.8
20030417,01555564,33.1793,244.3978,3.8,2.3
20030417,16502791,33.1817,244.3955,4.09,2.7
20030418,05420469,33.1907,244.406,3.33,2.4
20030418,05430506,33.1878,244.4007,3.74,2.4
20030419,23474774,33.797,243.902,5.6,2.3
20030419,23502458,33.7948,243.9118,8.56,3.2
20030420,14155410,33.1395,243.3952,13.43,2.2
20030422,06562235,34.3285,243.2398,2.9,2.5
20030427,08242352,33.1637,244.359,3.75,2.3
20030427,08281307,33.159,244.3527,1.71,2.2
20030427,08412556,33.1688,244.3565,4.46,2.5
